VehicleID,Amount (Million Naira)
VHL18518,1.00
VHL17149,1.00
VHL10927,1.00
VHL12909,1.00
VHL12348,1.00
VHL10798,1.00
VHL11022,1.00
VHL12206,1.00
VHL11697,1.00
VHL12313,1.00
VHL13411,1.00
VHL14334,1.00
VHL14302,1.00
VHL13979,1.00
VHL12272,1.00
VHL15071,1.00
VHL19166,1.00
VHL10471,1.00
VHL18431,1.00
VHL12325,1.00
VHL15657,1.00
VHL13667,1.00
VHL18913,1.00
VHL13273,1.00
VHL16576,1.00
VHL15506,1.00
VHL10460,1.00
VHL16050,1.00
VHL17918,1.00
VHL12992,1.00
VHL10261,1.00
VHL18348,1.00
VHL11577,1.00
VHL16957,1.00
VHL16165,1.00
VHL11441,1.00
VHL19990,1.00
VHL14072,1.00
VHL13637,1.00
VHL10757,1.00
VHL12657,1.00
VHL19939,1.00
VHL12094,1.00
VHL17177,1.00
VHL16720,1.00
VHL11478,1.00
VHL14386,1.00
VHL11341,1.00
VHL18683,1.00
VHL13430,1.00
VHL18932,1.00
VHL17505,1.00
VHL16272,1.00
VHL14777,1.00
VHL13186,1.00
VHL19383,1.00
VHL14605,1.00
VHL11440,1.00
VHL14303,1.00
VHL19478,1.00
VHL17837,1.00
VHL12824,1.00
VHL17476,1.00
VHL18988,1.00
VHL19482,1.00
VHL13263,1.00
VHL17078,1.00
VHL19170,1.00
VHL18070,1.00
VHL18061,1.00
VHL10726,1.00
VHL19212,1.00
VHL13283,1.00
VHL14023,1.00
VHL16973,1.00
VHL19653,1.00
VHL18605,1.00
VHL13287,1.00
VHL15719,1.00
VHL19636,1.00
VHL11009,1.00
VHL18087,1.00
VHL14422,1.00
VHL15789,1.00
VHL12369,1.00
VHL15812,1.00
VHL18767,1.00
VHL19271,1.00
VHL17403,1.00
VHL12967,1.00
VHL19998,1.00
VHL12336,1.00
VHL10328,1.00
VHL18908,1.00
VHL11127,1.00
VHL12655,1.00
VHL19086,1.00
VHL10384,1.00
VHL15712,1.00
VHL11054,1.00
VHL16505,1.00
VHL10534,1.00
VHL14120,1.00
VHL10206,1.00
VHL13595,1.00
VHL15887,1.00
VHL12672,1.00
VHL19770,1.00
VHL13026,1.00
VHL12635,1.00
VHL14014,1.00
VHL19238,1.00
VHL18156,1.00
VHL13087,1.00
VHL13743,1.00
VHL19323,1.00
VHL16129,1.00
VHL17626,1.00
VHL14525,1.00
VHL15597,1.00
VHL19429,1.00
VHL14074,1.00
VHL17422,1.00
VHL11861,1.00
VHL19828,1.00
VHL14000,1.00
VHL12312,1.00
VHL16257,1.00
VHL14859,1.00
VHL16048,1.00
VHL14039,1.00
VHL10296,1.00
VHL14949,1.00
VHL17034,1.00
VHL17149,1.00
VHL19677,1.00
VHL14433,1.00
VHL16582,1.00
VHL10059,1.00
VHL17140,1.00
VHL10364,1.00
VHL16932,1.00
VHL18587,1.00
VHL13635,1.00
VHL18371,1.00
VHL19622,1.00
VHL18669,1.00
VHL17359,1.00
VHL19788,1.00
VHL19078,1.00
VHL12673,1.00
VHL17895,1.00
VHL18950,1.00
VHL13562,1.00
VHL11306,1.00
VHL15496,1.00
VHL11927,1.00
VHL10392,1.00
VHL14124,1.00
VHL12586,1.00
VHL12895,1.00
VHL18481,1.00
VHL11310,1.00
VHL15810,1.00
VHL16037,1.00
VHL19627,1.00
VHL11152,1.00
