VehicleID,Location,Maker,Model,Year,Colour,Amount (Million Naira),Type,Distance
VHL12546,Abuja,Honda,Accord Coupe EX V-6,"2,011",Silver,2.20,Nigerian Used,
VHL18827,Ibadan,Hyundai,Sonata,"2,012",Silver,3.50,Nigerian Used,"125,000"
VHL19499,Lagos,Lexus,RX 350,"2,010",Red,9.20,Foreign Used,"110,852"
VHL17991,Abuja,Mercedes-Benz,GLE-Class,"2,017",Blue,22.80,Foreign Used,"30,000"
VHL12170,Ibadan,Toyota,Highlander,"2,002",Red,2.60,Nigerian Used,"125,206"
VHL19996,Lagos,Toyota,Venza V6,"2,011",Black,7.50,Foreign Used,
VHL16314,Lagos,Lexus,LX 570 AWD,"2,019",Black,79.00,Foreign Used,
VHL14299,Abuja,Toyota,Avalon,"2,015",Gold,9.00,Foreign Used,
VHL15637,Lagos,Toyota,Sienna,"2,012",Blue,7.76,Foreign Used,"350,882"
VHL15752,Ibadan,Mercedes-Benz,C240 Matt,"2,004",Black,2.50,Foreign Used,"179,638"
VHL10459,Lagos,Acura,RDX SH-AWD,"2,012",White,7.20,Foreign Used,"75,858"
VHL15950,Lagos,Toyota,Avensis 1.8 Sedan,"2,003",Silver,3.26,Foreign Used,"111,289"
VHL13916,Lagos,Toyota,Corolla,"2,008",Black,1.91,Nigerian Used,"126,075"
VHL10209,Lagos,Toyota,Venza V6 AWD,"2,010",White,6.95,Foreign Used,
VHL15431,Abuja,Toyota,Hilux SR5+ 4x4,"2,018",Black,17.00,Foreign Used,"16,000"
VHL14203,Lagos,Lexus,ES 350,"2,008",Blue,3.55,Nigerian Used,
VHL16065,Abuja,Toyota,Tacoma Limited,"2,017",Gray,22.00,Foreign Used,"52,352"
VHL16048,Abuja,Toyota,Hilux,"2,020",White,23.00,Brand New,"7,523"
VHL18666,Lagos,Lexus,RX 350 AWD,"2,015",Black,14.00,Foreign Used,
VHL10724,Lagos,Toyota,Avalon,"2,011",Gray,4.90,Foreign Used,"75,300"
VHL13812,Lagos,Dodge,Caravan Cargo Van,"2,006",Red,2.48,Foreign Used,"170,671"
VHL12573,Abuja,Nissan,Altima,"2,020",Gray,16.00,Foreign Used,"9,000"
VHL14526,Lagos,Mercedes-Benz,M Class,"2,006",Silver,4.60,Foreign Used,
VHL10853,Ibadan,Toyota,Highlander XLE V6 4x4 (3.5L 6cyl 6A),"2,016",Gray,15.00,Foreign Used,"20,189"
VHL17018,Abuja,Mercedes-Benz,E350,"2,014",Silver,11.85,Foreign Used,"40,000"
VHL18463,Abuja,Honda,Ridgeline,"2,007",Black,4.10,Foreign Used,"100,000"
VHL18173,Abuja,Kia,Optima,"2,014",Burgandy,4.50,Foreign Used,
VHL10241,Lagos,Lexus,ES 350,"2,007",Gray,4.20,Foreign Used,"85,474"
VHL19024,Abuja,Toyota,Venza V6 AWD,"2,010",Green,9.00,Foreign Used,"42,483"
VHL13114,Abuja,Toyota,Venza AWD,"2,010",Green,7.80,Foreign Used,"49,000"
VHL17026,Lagos,Toyota,Sequoia,"2,009",Black,5.90,Nigerian Used,"140,000"
VHL19933,Abuja,Toyota,Camry,"2,014",Gray,4.00,Nigerian Used,"128,885"
VHL17277,Ibadan,Toyota,RAV4 Limited V6 4x4,"2,007",Green,4.00,Foreign Used,"96,000"
VHL13475,Ibadan,Toyota,Camry,"2,003",Silver,2.40,Foreign Used,"130,000"
VHL11275,Lagos,Mercedes-Benz,GL-Class,"2,014",White,17.00,Foreign Used,"118,285"
VHL10174,Abuja,BMW,X5 4.4i,"2,006",Gray,3.00,Foreign Used,
