name,world_ranking,region_ranking,country_ranking,region,country,city\state,acceptance_rate,publication,website,phone_no,address
Aarhus University,"#150 of 14,131","#44 of 2,785",#2 of 27,Europe,Italy,Veneto,15%,"89,633",www.au.dk,+45 8942 1111,"Nordre Ringgade 1
 Aarhus, Central Denmark Region, 8000 
Denmark"
Arizona State University - Tempe,"#61 of 14,131","#48 of 2,597","#45 of 2,496",Europe,Spain,Valencia,,"99,086",www.asu.edu,8552785080,"University Drive and Mill Avenue
 Tempe, Arizona, 85287 
United States"
Auburn University,,,,North America,United States,Wisconsin,57%,"36,231",auburn.edu,3348444000,"Samford Hall
 Auburn, Alabama, 36849 
United States"
Australian National University,"#88 of 14,131",#5 of 59,#5 of 40,North America,Canada,Ontario,86%,"97,754",www.anu.edu.au,+61 (0)2 6125 5111,"Ellery Crescent, Acton
 Canberra, Australian Capital Territory, 0200 
Australia"
Autonomous University of Barcelona,,,,Europe,Italy,Emilia-Romagna,11%,"74,922",www.uab.cat,+34 935812222,"Campus de Bellaterra, Edificio A
 Cerdanyola del Vallès, Catalonia, 08193 
Spain"
Baylor College of Medicine,,,,Asia,Japan,Kyoto,55%,"82,676",bcm.edu,7137984951,"One Baylor Plaza
 Houston, Texas, 77030-3498 
United States"
Boston College,,,,North America,United States,Pennsylvania,67%,"25,757",bc.edu,6175528000,"140 Commonwealth Avenue
 Chestnut Hill, Massachusetts, 02467 
United States"
Boston University,"#49 of 14,131","#42 of 2,597","#39 of 2,496",Europe,Greece,Athens,,"107,676",bu.edu,6173532000,"One Silber Way
 Boston, Massachusetts, 02215 
United States"
Brigham Young University - Provo,"#193 of 14,131","#99 of 2,597","#88 of 2,496",Europe,United Kingdom,England,58%,"36,150",www.byu.edu,8014224636,"Main Campus
 Provo, Utah, 84602 
United States"
Brown University,"#76 of 14,131","#55 of 2,597","#52 of 2,496",North America,United States,Virginia,,"80,596",www.brown.edu,4018631000,"One Prospect Street
 Providence, Rhode Island, 02912 
United States"
California Institute of Technology,"#51 of 14,131","#44 of 2,597","#41 of 2,496",Oceania,Australia,Melbourne,,"138,415",www.caltech.edu,6263956811,"1200 E California Blvd
 Pasadena, California, 91125 
United States"
Cardiff University,"#195 of 14,131","#66 of 2,785",#20 of 163,Europe,Sweden,Uppsala,15%,"75,474",www.cardiff.ac.uk,+44 (29) 2087 4000,"Newport Road
 Cardiff, Wales, CF10 3AT 
United Kingdom"
Carnegie Mellon University,"#43 of 14,131","#38 of 2,597","#36 of 2,496",North America,Canada,Ontario,,"92,979",www.cmu.edu,4122682000,"5000 Forbes Avenue
 Pittsburgh, Pennsylvania, 15213-3890 
United States"
Case Western Reserve University,"#111 of 14,131","#68 of 2,597","#63 of 2,496",Europe,Netherlands,Nijmegen,91%,"94,862",case.edu,2163682000,"10900 Euclid Ave
 Cleveland, Ohio, 44106 
United States"
Catholic University of Leuven,"#77 of 14,131","#13 of 2,785",#1 of 63,Asia,Japan,Tsukuba,34%,"166,908",www.kuleuven.be,+32 (16) 324 311,"Naamsestraat 22
 Leuven, Flemish Brabant, 3000 
Belgium"
Catholic University of Louvain,,,,North America,United States,Maryland,51%,"52,453",uclouvain.be,+32 (10) 472 111,"Place de l'Université, 1
 Louvain-la-Neuve, Walloon Brabant, 1348 
Belgium"
Charles University,"#172 of 14,131","#57 of 2,785",#1 of 67,North America,Canada,British Columbia,10%,"66,210",cuni.cz,+420 224 491 111,"Ovocný trh 560/5
 Prague, Prague, 116 36 
Czech Republic"
Chinese University of Hong Kong,"#158 of 14,131","#14 of 5,830",#6 of 960,Asia,Israel,Jerusalem,65%,"83,632",www.cuhk.edu.hk,+852 3943 7000,"Shatin, New Territories
 Hong Kong 
China"
Clemson University,,,,North America,United States,Illinois,25%,"37,571",clemson.edu,8646564636,"201 Sikes Hall
 Clemson, South Carolina, 29634 
United States"
Colorado State University - Fort Collins,"#142 of 14,131","#84 of 2,597","#74 of 2,496",Asia,South Korea,Seoul,36%,"60,672",www.colostate.edu,9704911101,"102 Administration Building
 Fort Collins, Colorado, 80523-0100 
United States"
Columbia University,"#9 of 14,131","#8 of 2,597","#8 of 2,496",Oceania,New Zealand,Dunedin,,"205,011",www.columbia.edu,2128541754,"West 116 St and Broadway
 New York, New York, 10027 
United States"
Complutense University of Madrid,"#144 of 14,131","#39 of 2,785",#2 of 75,Europe,Germany,North Rhine-Westphalia,69%,"86,698",ucm.es,+34 913944099,"Avenida Séneca, 2
 Madrid, Community of Madrid, 28040 
Spain"
Cornell University,"#13 of 14,131","#11 of 2,597","#11 of 2,496",North America,United States,New York State,,"210,564",www.cornell.edu,6072552000,"300 Day Hall
 Ithaca, New York, 14853 
United States"
Dalhousie University,,,,North America,United States,Utah,5%,"51,482",www.dal.ca,+1 (902) 494 2450,"6885 University Avenue
 Halifax, Nova Scotia, B3H 4H6 
Canada"
Dartmouth College,"#125 of 14,131","#74 of 2,597","#68 of 2,496",North America,United States,California,5%,"46,082",home.dartmouth.edu,6036461110,"207 Parkhurst Hall
 Hanover, New Hampshire, 03755-3529 
United States"
