Bug ID,Time Taken to fix the bug
12986,2.42
12987,2.03
12988,2.74
12989,3.21
12990,3.4
12991,4.06
12992,1.98
12993,4.45
12994,4.5
12995,2.8
12996,2.02
12997,2.2
12998,4.95
12999,2.17
13000,3.69
13001,3.85
13002,2.63
13003,1.85
13004,1.99
13005,2.75
13006,2.79
13007,3.82
13008,2.4
13009,3.35
13010,1.55
13011,4.84
13012,4.68
13013,3.45
13014,2.86
13015,3.81
13016,4.7
13017,2.65
13018,3.7
13019,1.75
13020,3.39
13021,2.78
13022,3.3
13023,2.47
13024,4.81
13025,3.98
13026,2.78
13027,3.88
13028,1.8
13029,4.11
13030,3.03
13031,3.35
13032,2.01
13033,2.4
13034,3.01
13035,3.65
13036,4.45
13037,2.4
13038,4.97
13039,2.31
13040,2.79
13041,1.06
13042,2.4
13043,4.43
13044,1.5
13045,3.37
13046,1.33
13047,2.38
13048,2.95
13049,1.72
13050,4.56
13051,1.73
13052,3.58
13053,1.74
13054,4.76
13055,1.84
13056,2.57
13057,4.33
13058,3.25
13059,3.76
13060,1.2
13061,2.93
13062,1.8
13063,4.78
13064,2.2
13065,2.63
13066,1.13
13067,1.27
13068,4.67
13069,1.73
13070,2.08
13071,1.77
13072,1.55
13073,3.05
13074,3.14
13075,1.77
13076,4.66
13077,2.99
13078,3.27
13079,4.98
13080,1.13
13081,3.88
13082,2.8
13083,2.38
13084,3.71
13085,3.99
13086,1.08
13087,3.39
13088,3.27
13089,1.65
13090,1.58
13091,2.26
13092,1.59
13093,2.24
13094,1.4
13095,4
13096,1.18
13097,3.64
13098,4
13099,2.31
13100,1.24
13101,2.49
13102,2.14
13103,1.2
13104,1.21
13105,2.9
13106,4.34
13107,4.43
13108,3.99
13109,1.42
13110,3.89
13111,2.27
13112,4.73
13113,3.34
13114,2.22
13115,3.07
13116,3
13117,2.68
13118,1.36
13119,3.07
13120,2.36
13121,1.33
13122,2.64
13123,2.26
13124,1.38
13125,1.41
13126,2.26
13127,4.19
13128,1.36
13129,2.04
13130,3.86
13131,3.19
13132,3.5
13133,3.94
13134,3.92
13135,4.33
13136,3.35
13137,2.95
13138,3.42
13139,4.56
13140,1.83
13141,1.58
13142,4.78
13143,4.69
13144,2.95
13145,4.5
13146,1.06
13147,1.14
13148,3.61
13149,4.39
13150,4.91
13151,3.49
13152,1.7
13153,3.45
13154,4.81
13155,4.19
13156,3.09
13157,4.09
13158,3.32
13159,3.92
13160,4.75
13161,4.45
13162,4.3
13163,4.24
13164,2.74
13165,3.83
13166,4.4
13167,3.01
13168,3.03
13169,2.87
13170,1.97
13171,1.2
13172,4.8
13173,3.79
13174,2.02
13175,3.93
13176,3.4
13177,4.51
13178,1.9
13179,2.48
13180,3.84
13181,4.34
13182,3.14
13183,4.52
13184,1.2
13185,3.6
13186,1.86
13187,4.46
13188,3.63
13189,1.51
13190,2.38
13191,3.66
13192,3.65
13193,2.77
13194,1.2
13195,4.91
13196,3.84
13197,4.85
13198,1.38
13199,4.18
13200,1.26
13201,4.8
13202,1.17
13203,4.58
13204,3.32
13205,1.08
13206,3.61
13207,3.85
13208,2.63
13209,2.38
13210,1.89
13211,1.41
13212,2.09
13213,4.48
13214,1.79
13215,1.68
13216,4.58
13217,4.38
13218,2.84
13219,2.02
13220,2.95
13221,1.62
13222,4.72
13223,4.14
13224,3.81
13225,2.24
13226,3.07
13227,4.64
13228,2.52
13229,1.33
13230,2.16
13231,3.86
13232,2.63
13233,2.13
13234,1.61
13235,3.55
13236,3.59
13237,4.48
13238,2.1
13239,4.24
13240,1.93
13241,1.26
13242,3.9
13243,3.17
13244,1.74
13245,2.01
13246,2.18
13247,1.26
13248,3.29
13249,2.69
13250,1.92
13251,2.66
13252,3.48
13253,4.53
13254,3.25
13255,3.06
13256,3.27
13257,1.88
13258,4.66
13259,1.14
13260,3.16
13261,1.12
13262,1.96
13263,2.99
13264,3.31
13265,1.16
13266,3.85
13267,1.74
13268,1.62
13269,2.76
13270,4.3
13271,4.52
13272,1.23
13273,3.64
13274,2.93
13275,4.4
13276,4.08
13277,3.53
13278,2.9
13279,1.29
13280,1.96
13281,3.8
13282,4.35
13283,3.6
13284,4.89
13285,1.64
13286,1.03
13287,3.17
13288,2.91
13289,1.29
13290,2.88
13291,1.88
13292,1.39
13293,3.47
13294,4.89
13295,4.52
13296,4.04
13297,4.87
13298,4.76
13299,3.22
13300,4.53
13301,1.94
13302,2.07
13303,3.57
13304,1.91
13305,2.45
13306,1.47
13307,2.17
13308,2.24
13309,4.4
13310,4.02
13311,2.28
13312,4.23
13313,4.05
13314,1.33
13315,1.83
13316,3.84
13317,4.25
13318,2.13
13319,3.39
13320,4.62
13321,4.52
13322,4.78
13323,3.43
13324,1.41
13325,1.13
13326,4.67
13327,3.26
13328,2.24
13329,3.72
13330,1.69
13331,3.52
