Student_ID,Time_taken
955,2.79
379,3.32
922,1.35
312,2.35
670,1.98
206,3.48
662,2.81
862,2.05
612,2.98
866,1.35
385,1.28
708,2.59
864,3.03
462,1.75
868,3.38
260,1.3
105,1.16
193,1.86
51,3.57
707,2.44
767,1.7
5,2.3
712,3.88
405,3.87
127,2.25
787,2.89
147,2.39
6,1.31
873,1.05
176,1.1
423,1.52
613,2.35
173,2.12
193,2.66
649,3.56
210,2.05
79,3.05
622,2.07
688,3.34
522,1.76
216,2.88
243,3.2
320,3.69
107,2.62
7,2.56
635,1.05
207,2.79
249,2.44
523,1.51
223,2.61
506,2.03
303,2.66
686,2.69
421,2.58
31,1.31
693,3.93
32,2.2
590,3.62
442,3.15
794,2.34
935,2.1
739,1.14
702,2.32
322,2.41
788,2.48
61,1.73
72,2.51
691,2.88
280,1.9
949,2.25
131,3.04
100,3.1
910,1.12
968,1.68
830,1.74
269,1.07
371,3.56
59,3.21
726,1.34
65,3.86
835,1.17
386,1.08
806,1.01
598,3.18
235,3
412,1.34
122,2.35
154,1.78
631,2.22
869,2.64
322,1.45
829,1.42
903,2.55
30,2.36
534,3.52
888,3
96,1.51
930,3.12
786,3.91
790,3.82
947,3.73
528,1.64
435,2.61
223,3.67
980,2.04
311,2.63
341,1.54
551,2.68
658,1.73
379,1.5
911,3.67
742,3.68
669,2.17
692,3.72
845,1.77
578,1.29
978,3.66
235,3.33
295,2.76
886,1.44
192,1.44
145,3.43
196,1.99
846,1.49
310,1.62
450,2.74
209,1.77
765,1.14
69,1.96
61,1.59
20,1.02
98,2.65
972,2.6
826,2.39
142,1.14
136,3.22
410,1.09
249,3.54
628,1.25
947,2.13
424,1.43
394,2.36
27,2.7
34,3.74
105,1.7
692,3.37
106,3.29
897,1.52
321,2.16
585,1.85
879,3.29
404,2.4
369,3.54
325,1.23
295,2.08
763,1.37
836,2.85
875,2.42
850,2.87
815,1.65
109,3.52
37,2.55
723,2.55
591,3.28
57,1.71
292,1.58
153,3.9
555,3.27
402,2.41
904,3.66
784,1.7
441,2.09
599,3.59
425,1.84
673,1.51
9,3.89
945,2.29
260,1
122,3.87
318,2.56
475,1.9
825,3.42
955,2.8
666,2.99
463,1.98
625,3.37
6,3.89
972,2.07
630,3.02
993,3.59
786,2.84
438,3.16
327,1.55
882,1.71
917,3.26
724,2.93
300,3.54
977,3.67
68,1.39
755,3.14
489,2.79
548,1.18
6,1.47
893,1.42
686,2.92
196,1.79
191,1.8
381,2.74
665,1.63
595,1.23
79,3.21
938,3.55
846,2.44
307,3.92
456,1.92
748,3.64
553,1.23
840,2.47
258,3.74
931,1.38
695,3.52
552,2.76
70,1.06
418,3.54
795,1.98
753,2.44
161,1.79
303,2.63
510,1.89
888,1.36
992,2.56
899,1.33
396,1.49
341,2.1
941,1.84
72,2.25
409,3.59
932,3.27
120,1.61
955,3.29
130,3.53
472,2.88
589,1.74
813,2.89
632,3.61
279,2.05
26,1.88
400,3.67
149,1.28
424,3.08
402,1.03
425,1
812,1.73
484,1.52
124,3.14
927,3.86
500,3.92
172,3.52
734,3.97
301,1.67
941,3.7
455,2.06
69,1.53
662,3.96
434,3.07
956,3.16
363,2.35
520,1.16
838,2.83
562,1.4
236,3.71
45,1.93
289,3.23
537,3.3
504,1.15
298,1.68
341,2.52
984,1.47
884,2.13
971,2.24
741,1.82
18,3.5
78,2.39
613,1.35
77,3.37
946,2.25
203,1.18
289,3.48
272,3.69
249,2.28
755,1.16
389,2.49
936,1.31
63,2.8
343,3.73
762,3.67
283,3.63
898,2.49
929,1.45
535,3.98
863,3.84
72,2.61
735,3.24
589,2.26
777,3.58
566,3.66
708,3.84
393,2.72
814,3.22
284,1.5
47,3.78
351,3.26
457,3.43
420,2.46
361,2.76
234,1.21
268,2.66
125,3.16
100,2.31
989,2.02
356,2.1
440,1.01
972,1.84
205,3.59
954,2.17
932,3.74
426,3.91
29,2.26
729,1.13
56,1.9
839,1.07
391,1.9
988,2.14
559,3
454,2.3
463,1.83
473,2.3
761,2.49
775,1.19
751,2.36
459,2.64
545,2.63
666,3.08
796,1.44
285,2.34
988,3.46
487,3.94
699,2.85
996,2.32
569,3.49
232,2.4
613,2.82
833,1.37
638,3.65
415,1.9
830,2.53
297,1.92
535,3.5
966,3
929,2.88
698,1.13
157,2.05
576,2.82
985,2.17
203,2.74
308,2.76
837,1.5
65,2.13
743,2.33
829,3.39
412,3.73
54,2.04
309,1.62
822,3.79
867,1.4
787,2.49
590,2.48
507,2.75
217,1.33
709,3.82
17,3.96
466,1.52
93,2.88
132,2.73
208,3.68
995,2.88
220,2.86
711,2.87
65,2.96
242,2.22
2,2.19
397,2.42
938,1.94
61,1.95
651,2.27
725,3.96
427,3.28
146,1.86
699,2.03
161,2.36
393,2.58
100,1.91
153,1.4
82,3.4
555,2.83
882,1.7
817,1.52
708,2.66
948,2.21
760,2.7
675,3.86
314,2.88
679,2.14
182,3.23
466,3.94
579,2.66
886,3.05
31,2.77
390,1.93
962,2.67
360,2.5
961,1.63
86,3.45
545,3.33
756,1.69
506,2.74
861,3.31
491,3.89
685,3.08
336,1.21
39,1.05
670,2.7
269,2.8
371,1.94
874,3.62
293,1.08
407,1.56
474,2.01
585,1.67
568,2.9
792,2.34
288,2.94
811,3.11
348,3.95
675,1.56
706,3.83
128,2.18
612,2.67
792,3.68
397,2.11
579,2.64
909,1.25
325,2.08
898,2.56
813,1.97
817,1.84
790,2.12
543,2.76
127,3.43
128,3.48
258,2.67
57,2.1
509,2.73
67,2.2
49,2.67
522,2.68
385,1.43
280,3.54
113,2.69
581,1.1
957,2.84
896,2.44
602,1.78
28,1.15
764,3.44
621,1.28
224,3.71
441,3.35
828,2.25
625,3.73
142,3.41
542,1.35
510,2.61
981,2.98
336,3.39
969,2.64
638,1.33
725,2.74
982,1.27
43,1.83
53,3.16
798,1.72
731,2.23
344,2.1
831,3.27
852,3.8
61,1.35
972,2.55
516,3.03
441,3.18
360,3.31
447,1.31
256,2.13
54,1.74
132,2.25
970,1.08
192,1.58
677,2.55
508,1.65
71,1.14
38,3.04
387,3.02
387,2.67
103,1.89
951,3.94
639,2.29
614,1.37
103,1.8
710,2.67
594,1.25
991,2.23
902,2
118,1.09
180,1.43
251,2.43
175,1.34
438,2.91
978,3.13
422,3.17
818,3.59
204,2.27
978,1.95
123,1.29
851,3.37
443,3.28
661,2.03
348,4
842,2.47
760,3.61
54,1.16
89,2.1
786,2.29
849,1.51
540,2.67
574,2.69
660,1.46
813,3.56
694,1.12
179,3.38
53,1.61
455,3.27
417,1.13
109,2.46
849,2.11
949,1.81
339,2.38
31,1.87
578,3.35
292,3.75
194,3.51
948,1.59
247,3.55
396,3.04
209,1.94
265,1.54
577,2.69
256,1.16
371,1.95
233,3.32
568,3.73
57,3.98
923,3.28
589,1.67
336,2.73
537,3.22
634,1.82
733,2.43
400,1.84
781,3.29
716,2.72
366,2.18
204,3.2
547,1.87
285,1.43
716,3.89
80,3.07
957,1.33
760,3.62
263,3.52
692,3.78
761,3.84
835,1.34
872,1.52
759,3.97
12,2.06
570,3.36
844,1.47
894,3
264,1.28
659,2.71
193,2.09
698,1.74
604,2.34
823,1.81
612,1.72
174,3.77
731,3.47
690,2.14
160,3.7
452,2.51
791,3.98
550,2.04
337,1.53
557,2.82
718,2.77
517,1.06
211,1.6
664,1.18
672,3.86
711,1.6
858,3.2
249,2.9
747,3.4
54,2.51
761,3.22
363,2.78
815,3.88
362,1.03
89,2.59
106,2.22
208,3.69
110,3.84
434,1.39
69,1.96
676,1.27
208,3.26
587,2.88
931,1.5
584,1.8
961,2.63
113,3.37
71,1.82
596,1.25
517,1.94
348,1.87
290,3.4
82,2.31
907,3.97
152,2.32
282,2.37
650,1.34
403,2.8
9,1.89
696,3.39
501,1.35
334,3.07
532,3.61
795,3.53
338,2.89
105,2.79
47,3.17
916,2.38
893,3.75
93,3.07
202,2.13
486,3.06
647,1.96
11,2.04
297,2.72
270,1.64
58,2.39
610,1.54
668,2.31
613,2.23
945,3.3
937,3.37
584,3.27
319,2.77
731,2.59
223,1.06
128,3.63
730,2.91
240,1.87
54,2.49
40,1.58
738,3.14
960,3.68
381,2.81
93,3.27
698,1.28
84,1.34
258,2.89
720,2.82
248,1.49
829,2.13
711,2.08
691,2.82
48,3.83
381,2
776,3.96
94,2.62
799,1.81
52,2.68
581,3.81
259,3.44
814,3.52
152,2.66
962,2.56
367,3.91
289,3.58
909,2.61
540,1.7
985,3.47
848,3.75
398,2.65
954,1.51
511,1.88
174,2.96
656,1.17
724,3.87
292,2.85
982,2.15
543,2.34
630,3.55
55,2.89
925,3.69
719,2.36
754,2.38
742,2.33
108,1.98
157,4
855,3.2
900,2.93
658,3.18
474,1.21
129,2.77
625,1.45
253,1.57
611,2.95
853,1.44
843,2.11
597,2.74
695,1.08
322,1.85
537,1.5
158,2.64
83,3.92
955,2.93
759,2.91
908,2.39
925,1.62
318,1.85
712,1.72
633,2.53
644,3.24
641,1.89
802,2.02
953,2.13
48,2.29
123,2.12
136,1.72
108,1.09
614,1.74
344,1.31
925,3.04
680,3.91
237,3.09
643,1.77
577,3.12
577,3.84
647,3.28
168,3.07
306,2.18
935,1.69
316,2.26
513,1.17
102,1.51
218,3.79
896,1.54
932,1.47
299,1.54
367,3.65
370,1.27
836,1.57
971,3.06
960,1.97
544,2.7
912,3.76
896,1.65
54,1.4
377,3.41
604,2.5
730,1.73
921,3.72
112,2.96
183,3.07
258,1.56
21,2.88
977,3.09
942,2.47
637,3.36
692,2.5
868,1.63
474,2.79
879,3.62
474,3.45
761,1.46
492,2.44
831,1.49
406,3.54
140,1.18
640,3.88
244,3.26
587,1.19
166,1.78
422,2.25
762,2.58
655,2.12
671,3.39
332,1.86
372,3.75
841,1.35
357,1.94
570,3.1
581,1.84
4,1.96
423,3.22
117,1.9
236,1.39
900,1.76
430,1.05
610,2.24
80,3.46
133,1.68
178,1.17
843,1.3
810,2.83
53,2.86
527,3.76
911,3.67
996,1.71
28,3.91
214,1.28
845,3.62
803,2.45
265,1.23
558,3.57
613,3.71
494,1.8
854,2.6
553,3.49
201,1.08
151,3.15
260,2.39
505,3.81
605,3.14
908,1.71
146,3.59
650,2.66
753,1.53
905,1.27
728,1.44
783,2.9
503,2.73
155,1.82
230,3.66
232,1.71
685,1.71
565,1.85
588,3.65
863,3.8
467,1.57
945,2.9
148,2.18
546,3.3
654,1.13
867,3.91
775,2
414,3.14
234,3.86
379,3.67
602,3.89
753,1.07
765,3.35
626,3.23
286,3.46
997,2.56
539,2.92
412,2.58
245,1.59
975,2.06
8,2.11
696,1.15
120,2.97
556,2.63
298,2.09
863,2.55
193,2.5
253,1.65
35,3.03
427,1.32
330,3.09
835,2.89
920,3.9
606,2.73
498,3.86
883,3.49
229,1.76
558,1.71
389,2.53
274,3.47
953,3.81
721,3.71
999,2.29
742,1.69
868,3.42
551,3.13
912,3.15
766,2.9
901,1.98
348,2.34
985,2.08
466,2.03
380,1.61
933,3.24
330,3.06
591,1.91
585,1.54
946,2.58
217,1.9
860,3.48
139,2.56
256,2.36
329,1.63
429,2.63
901,2.06
551,1.41
642,3.68
84,3.96
193,3.8
632,1.19
499,1.39
287,3.32
939,3.42
797,2.29
290,2.04
928,3.43
721,2.38
967,1.29
292,1.75
604,3.08
45,3.92
176,2.65
666,3.84
704,3.17
672,1.29
178,1.37
663,3.64
578,2.47
564,3.11
568,3.4
129,1.29
947,3.87
267,1.04
661,1.04
387,3.52
479,3.64
15,1.85
713,1.94
168,1.12
504,3.8
539,3.8
520,1.85
273,3.61
301,2.61
53,1.3
531,2.96
449,2.04
168,3.1
670,2.58
770,2.28
97,1.36
964,1.15
408,2.39
756,3.56
424,1.19
324,3.51
426,2.88
532,2.97
514,3.12
480,2.07
633,1.65
83,3.18
870,3
468,3.75
258,2.38
666,3.71
398,2.44
32,2.42
980,2.79
